Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,Num_Acc,id_vehicule,num_veh,senc,catv,obs,obsm,choc,manv,motor,occutc,Num_Acc,id_vehicule,num_veh,place,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,locp,actp,etatp,Num_Acc,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma
201900000037,29,11,2019,13:40:00,1,67,67482,2,1,2,3,"JEAN JAURES (AVENUE)","48,5708480","7,7587680",201900000037,138 306 460,B01,2,1,0,2,8,19,5,NULL,201900000037,138 306 460,B01,1,1,4,1,1958,0,2,0,-1,-1,0,-1,201900000037,4,"JEAN JAURES (AVENUE)",0,NULL,3,5,2,1,0,0,1,NULL,NULL,2,4,6,50
201900000037,29,11,2019,13:40:00,1,67,67482,2,1,2,3,"JEAN JAURES (AVENUE)","48,5708480","7,7587680",201900000037,138 306 460,B01,2,1,0,2,8,19,5,NULL,201900000037,138 306 461,A01,1,1,1,1,1969,4,8,0,-1,-1,0,-1,201900000037,4,"JEAN JAURES (AVENUE)",0,NULL,3,5,2,1,0,0,1,NULL,NULL,2,4,6,50
201900000038,29,11,2019,13:50:00,1,66,66136,2,1,1,6,"MOULIN (PLACE JEAN)","42,6969500","2,8993500",201900000038,138 306 458,B01,2,1,0,2,1,1,5,NULL,201900000038,138 306 458,B01,1,1,4,2,1966,9,8,0,-1,-1," -1",-1,201900000038,4,"MOULIN (PLACE JEAN)",0,NULL,2,2,0,1,0,0,1,NULL,NULL,1,0,1,30
201900000038,29,11,2019,13:50:00,1,66,66136,2,1,1,6,"MOULIN (PLACE JEAN)","42,6969500","2,8993500",201900000038,138 306 458,B01,2,1,0,2,1,1,5,NULL,201900000038,138 306 459,A01,1,1,1,2,1986,9,1,8,-1,-1," -1",-1,201900000038,4,"MOULIN (PLACE JEAN)",0,NULL,2,2,0,1,0,0,1,NULL,NULL,1,0,1,30
201900000049,28,11,2019,08:16:00,1,49,49007,2,1,1,7,"TURPIN DE CRISSE AVENUE","47,4653400"," -0,5543300",201900000049,138 306 442,A01,1,1,14,0,0,0,5,NULL,201900000049,138 306 442,A01,1,1,4,2,1973,1,2,8,-1,-1," -1",-1,201900000049,4,"TURPIN DE CRISSE AVENUE",0,NULL,2,2,0,1,0,0,1,NULL,NULL,1,0,1,60
201900000051,29,11,2019,17:10:00,2,45,45234,2,6,1,3,"RUE DES MONTEES","47,8763800","1,9145000",201900000051,138 306 437,B01,0,1,0,2,0,9,5,NULL,201900000051,138 306 437,B01,1,1,4,1,2004,0,8,0,-1,0,0,-1,201900000051,4," RUE DES MONTEES",0,NULL,1,2,0,1,(1),(1),2,NULL,NULL,1,0,1,50
201900000051,29,11,2019,17:10:00,2,45,45234,2,6,1,3,"RUE DES MONTEES","47,8763800","1,9145000",201900000051,138 306 437,B01,0,1,0,2,0,9,5,NULL,201900000051,138 306 438,A01,1,1,1,1,1951,1,1,4,-1,-1," -1",-1,201900000051,4," RUE DES MONTEES",0,NULL,1,2,0,1,(1),(1),2,NULL,NULL,1,0,1,50
201900000059,22,11,2019,18:45:00,5,33,33063,2,2,2,3,"CRS JOURNU AUBER","44,8616500"," -0,5730000",201900000059,138 306 424,B01,0,1,0,2,1,1,5,NULL,201900000059,138 306 423,A01,1,1,1,1,1992,0,8,0,-1,-1," -1",-1,201900000059,4,"CRS JOURNU AUBER",0,NULL,1,2,1,1,(1),(1),1,NULL,NULL,2,0,1,50
201900000059,22,11,2019,18:45:00,5,33,33063,2,2,2,3,"CRS JOURNU AUBER","44,8616500"," -0,5730000",201900000059,138 306 424,B01,0,1,0,2,1,1,5,NULL,201900000059,138 306 424,B01,1,1,4,2,1986,1,8,0,-1,-1," -1",-1,201900000059,4,"CRS JOURNU AUBER",0,NULL,1,2,1,1,(1),(1),1,NULL,NULL,2,0,1,50
201900000060,6,11,2019,19:15:00,5,33,33550,2,6,1,2,"RTE DE LEOGNAN","44,7727200"," -0,5766400",201900000060,138 306 421,A01,2,1,0,2,4,1,5,NULL,201900000060,138 306 421,A01,1,1,4,2,1996,0,8,0,-1,-1," -1",-1,201900000060,4,"RTE DE LEOGNAN",0,NULL,2,4,0,1,0,0,1,NULL,NULL,1,0,1,50
