Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,Num_Acc,id_vehicule,num_veh,senc,catv,obs,obsm,choc,manv,motor,occutc,Num_Acc,id_usager,id_vehicule,num_veh,place,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,locp,actp,etatp,Num_Acc,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma
2.021E+11,21,10,2021,16:00:00,1,90,90071,1,1,7,6,voie verte,"476,010,200,000","70,063,270,000",2.021E+11,201 571,B01,3,1,14,0,1,1,0,NULL,2.021E+11,267 344,201 571,B01,1,1,4,1,1950,5,2,-1,-1,0,0,-1,2.021E+11,4,NULL,-1,NULL,-1,1,1,1,-1,-1,1,NULL,-1,9,6,5,-1
2.021E+11,21,10,2021,16:00:00,1,90,90071,1,1,7,6,voie verte,"476,010,200,000","70,063,270,000",2.021E+11,201 570,A01,3,1,14,0,1,1,0,NULL,2.021E+11,267 344,201 571,B01,1,1,4,1,1950,5,2,-1,-1,0,0,-1,2.021E+11,4,NULL,-1,NULL,-1,1,1,1,-1,-1,1,NULL,-1,9,6,5,-1
2.021E+11,1,11,2021,16:24:00,2,84,84080,2,4,1,1,chemin saint gens,"440,350,580,851","50,246,668,082",2.021E+11,201 560,B01,0,1,0,2,1,1,-1,NULL,2.021E+11,267 329,201 559,A01,1,1,1,1,1963,1,8,-1,-1,-1,-1,-1,2.021E+11,4,NULL,-1,NULL,2,-1,0,1,-1,-1,2,NULL,-1,1,0,1,-1
2.021E+11,1,11,2021,16:24:00,2,84,84080,2,4,1,1,chemin saint gens,"440,350,580,851","50,246,668,082",2.021E+11,201 560,B01,0,1,0,2,1,1,-1,NULL,2.021E+11,267 330,201 560,B01,1,1,2,1,1965,-1,2,-1,-1,-1,-1,-1,2.021E+11,4,NULL,-1,NULL,2,-1,0,1,-1,-1,2,NULL,-1,1,0,1,-1
2.021E+11,6,11,2021,22:25:00,5,987,98736,2,3,1,6,ANTHONY BAMBRIDGE (RUE),"-175,397,800,000","-1,495,450,200,000",2.021E+11,201 558,A01,3,1,12,0,1,14,5,NULL,2.021E+11,267 328,201 558,A01,1,1,2,2,2007,5,8,0,-1,-1,-1,-1,2.021E+11,4,ANTHONY BAMBRIDGE (RUE),0,NULL,2,2,0,2,0,0,2,NULL,-1,1,2,1,30
2.021E+11,25,5,2021,15:55:00,1,31,31555,2,1,1,3,BILLIERES (AV ETIENNE) DU 1AU 78,"435,969,171,534","14,261,841,774",2.021E+11,201 508,B01,3,1,0,2,3,0,0,NULL,2.021E+11,267 255,201 507,A01,1,1,1,1,1968,4,1,0,-1,-1,-1,-1,2.021E+11,4,BILLIERES (AV ETIENNE) DU 1AU 78,0,NULL,2,3,1,1,-1,-1,1,NULL,-1,1,0,5,5
2.021E+11,25,5,2021,15:55:00,1,31,31555,2,1,1,3,BILLIERES (AV ETIENNE) DU 1AU 78,"435,969,171,534","14,261,841,774",2.021E+11,201 508,B01,3,1,0,2,3,0,0,NULL,2.021E+11,267 256,201 508,B01,1,1,3,2,1977,0,8,0,-1,-1,-1,-1,2.021E+11,4,BILLIERES (AV ETIENNE) DU 1AU 78,0,NULL,2,3,1,1,-1,-1,1,NULL,-1,1,0,5,5
2.021E+11,12,11,2021,12:07:00,1,91,91471,2,1,1,3,CHARLES DE GAULLE (RUE),"487,020,770,000","21,905,530,000",2.021E+11,201 456,B01,0,1,0,2,1,2,5,NULL,2.021E+11,267 192,201 456,B01,1,1,4,1,1962,1,2,0,-1,-1,-1,-1,2.021E+11,4,CHARLES DE GAULLE (RUE),0,NULL,2,2,2,2,0,0,1,NULL,-1,1,0,1,50
2.021E+11,12,11,2021,12:07:00,1,91,91471,2,1,1,3,CHARLES DE GAULLE (RUE),"487,020,770,000","21,905,530,000",2.021E+11,201 456,B01,0,1,0,2,1,2,5,NULL,2.021E+11,267 193,201 457,A01,1,1,1,2,1960,1,1,0,-1,-1,-1,-1,2.021E+11,4,CHARLES DE GAULLE (RUE),0,NULL,2,2,2,2,0,0,1,NULL,-1,1,0,1,50
2.021E+11,30,6,2021,08:30:00,1,11,11294,1,1,1,7,D626,"430,585,800,000","20,439,080,000",2.021E+11,201 432,A01,1,1,0,0,8,1,5,NULL,2.021E+11,267 157,201 432,A01,1,1,2,1,1954,5,2,-1,-1,0,0,-1,2.021E+11,3,626,-1,NULL,2,2,0,2,11,300,2,NULL,-1,1,0,1,80
