Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,Num_Acc,id_vehicule,num_veh,senc,catv,obs,obsm,choc,manv,motor,occutc,Num_Acc,id_vehicule,num_veh,place,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,locp,actp,etatp,Num_Acc,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma
202000000076,6,3,2020,09:50:00,1,30,30075,2,1,1,-1,"Chemin des Rôles","43,8208860","4,2607860",202000000076,154 742 144,B01,3,1,0,0,0,1,5,NULL,202000000076,154 742 144,B01,1,1,3,1,1952,5,2,-1,-1,0,0,-1,202000000076,4,NULL,0,NULL,2,2,3,1,(1),(1),1,NULL,4,1,9,6,50
202000000109,6,3,2020,18:05:00,2,972,97209,2,3,1,1,"PATRICE LUMUMBA (RUE)","14,6136800"," -61,0701800",202000000109,154 742 088,B01,3,1,0,2,1,1,5,NULL,202000000109,154 742 088,B01,1,1,4,1,2011,5,0,-1,-1,0,0,-1,202000000109,4,"PATRICE LUMUMBA (RUE)",0,NULL,1,1,0,1,(1),(1),1,NULL,5,1,0,1,30
202000000109,6,3,2020,18:05:00,2,972,97209,2,3,1,1,"PATRICE LUMUMBA (RUE)","14,6136800"," -61,0701800",202000000109,154 742 088,B01,3,1,0,2,1,1,5,NULL,202000000109,154 742 089,A01,1,1,1,1,1980,5,1,8,-1,-1,0,-1,202000000109,4,"PATRICE LUMUMBA (RUE)",0,NULL,1,1,0,1,(1),(1),1,NULL,5,1,0,1,30
202000000122,5,3,2020,20:15:00,5,89,89387,2,2,3,3,"GARIBALDI (BOULEVARD DES)","48,1999800","3,2823200",202000000122,154 742 065,Y01,3,1,0,2,1,19,5,NULL,202000000122,154 742 064,A01,1,1,1,2,1995,0,1,0,-1,-1," -1",-1,202000000122,4,"GARIBALDI (BOULEVARD DES)",0,NULL,1,2,0,1,0,0,1,NULL," -1",2,0,1,50
202000000122,5,3,2020,20:15:00,5,89,89387,2,2,3,3,"GARIBALDI (BOULEVARD DES)","48,1999800","3,2823200",202000000122,154 742 065,Y01,3,1,0,2,1,19,5,NULL,202000000122,154 742 065,Y01,1,1,3,1,1989,0,2,0,-1,-1," -1",-1,202000000122,4,"GARIBALDI (BOULEVARD DES)",0,NULL,1,2,0,1,0,0,1,NULL," -1",2,0,1,50
202000000126,3,3,2020,18:10:00,2,84,84007,2,1,1,3,"RUE HOSEPH DE MONTGOLFIER","43,9301800","4,8285400",202000000126,154 742 056,B01,3,1,0,2,7,1,5,NULL,202000000126,154 742 056,B01,1,1,4,1,1939,0,2,0,-1,-1," -1",-1,202000000126,4,"RUE HOSEPH DE MONTGOLFIER",0,NULL,2,3,1,1,0,1,1,NULL," -1",1,0,1,50
202000000126,3,3,2020,18:10:00,2,84,84007,2,1,1,3,"RUE HOSEPH DE MONTGOLFIER","43,9301800","4,8285400",202000000126,154 742 056,B01,3,1,0,2,7,1,5,NULL,202000000126,154 742 057,A01,1,1,1,1,1970,5,1,0,-1,-1," -1",-1,202000000126,4,"RUE HOSEPH DE MONTGOLFIER",0,NULL,2,3,1,1,0,1,1,NULL," -1",1,0,1,50
202000000152,21,9,2020,19:00:00,5,971,97128,2,1,1,6,Douville,"16,2527980"," -61,3722650",202000000152,154 742 008,A01,2,1,0,0,4,0,0,NULL,202000000152,154 742 008,A01,1,1,4,1,1978,0,0,0,-1,0,0,-1,202000000152,3,114,-1,NULL,-1,2,0,3,(1),(1),2,NULL," -1",1,0,3,-1
202000000164,21,9,2020,14:20:00,1,73,73248,2,6,1,3,"D77 RP de l'aluminium","45,2756154","6,3554903",202000000164,154 741 988,B01,2,1,0,2,7,26,5,NULL,202000000164,154 741 987,A01,1,1,1,1,1980,4,1,-1,-1,0,0,-1,202000000164,3,77,-1,NULL,1,1,0,1,0,600,2,NULL," -1",1,5,1,30
202000000164,21,9,2020,14:20:00,1,73,73248,2,6,1,3,"D77 RP de l'aluminium","45,2756154","6,3554903",202000000164,154 741 988,B01,2,1,0,2,7,26,5,NULL,202000000164,154 741 988,B01,1,1,3,1,1959,5,0,-1,-1,0,0,-1,202000000164,3,77,-1,NULL,1,1,0,1,0,600,2,NULL," -1",1,5,1,30
