Accident_Id,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,Num_Acc,id_vehicule,num_veh,senc,catv,obs,obsm,choc,manv,motor,occutc,Num_Acc,id_usager,id_vehicule,num_veh,place,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,locp,actp,etatp,Num_Acc,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma,
2.022E+11,21,10,2022,14:40:00,1,92,92012,2,1,1,3,THIERS (RUE) 1/65,"488,371,210,000","22,483,650,000",2.022E+11,813 859,B01,1,1,0,2,0,1,5,NULL,2.022E+11,1 099 569,813 859,B01,1,1,4,1,1991,5,8,0,-1,-1,-1,-1,2.022E+11,4,NULL,0,NULL,2,1,0,1,0,0,1,NULL,-1,1,0,1,50,
2.022E+11,18,10,2022,11:03:00,1,29,29075,2,6,1,3,Rond Point de la Vallée,"484,312,260,000","-44,026,580,000",2.022E+11,813 821,A01,2,1,0,2,1,1,5,NULL,2.022E+11,1 099 508,813 820,B01,1,1,1,1,1975,1,1,-1,-1,0,0,-1,2.022E+11,3,67,0,D,1,1,0,1,6,247,2,NULL,-1,1,5,1,-1,
2.022E+11,18,10,2022,11:03:00,1,29,29075,2,6,1,3,Rond Point de la Vallée,"484,312,260,000","-44,026,580,000",2.022E+11,813 821,A01,2,1,0,2,1,1,5,NULL,2.022E+11,1 099 509,813 821,A01,1,1,3,1,1968,1,2,-1,-1,0,0,-1,2.022E+11,3,67,0,D,1,1,0,1,6,247,2,NULL,-1,1,5,1,-1,
2.022E+11,12,10,2022,10:45:00,1,9,9173,1,1,1,2,route de crampagna,"430,363,570,000","15,407,970,000",2.022E+11,813 812,B01,2,1,0,2,6,1,5,NULL,2.022E+11,1 099 495,813 811,A01,1,1,1,1,1993,4,1,-1,-1,0,0,-1,2.022E+11,3,919,0,NULL,2,2,0,2,37,500,1,NULL,-1,1,0,1,80,
2.022E+11,12,10,2022,10:45:00,1,9,9173,1,1,1,2,route de crampagna,"430,363,570,000","15,407,970,000",2.022E+11,813 812,B01,2,1,0,2,6,1,5,NULL,2.022E+11,1 099 496,813 812,B01,1,1,3,1,1958,5,2,6,-1,0,0,-1,2.022E+11,3,919,0,NULL,2,2,0,2,37,500,1,NULL,-1,1,0,1,80,
2.022E+11,10,9,2022,16:00:00,1,56,56262,2,1,1,3,Rue du General de Gaulle,"476,382,310,000","-29,528,660,000",2.022E+11,813 766,B01,1,1,0,2,3,1,5,NULL,2.022E+11,1 099 428,813 765,A01,1,1,1,1,1926,5,1,-1,-1,0,0,-1,2.022E+11,3,101,0,D,3,2,0,2,15,840,1,NULL,7,1,0,1,50,
2.022E+11,10,9,2022,16:00:00,1,56,56262,2,1,1,3,Rue du General de Gaulle,"476,382,310,000","-29,528,660,000",2.022E+11,813 766,B01,1,1,0,2,3,1,5,NULL,2.022E+11,1 099 429,813 766,B01,1,1,3,1,1965,5,2,-1,-1,0,0,-1,2.022E+11,3,101,0,D,3,2,0,2,15,840,1,NULL,7,1,0,1,50,
2.022E+11,20,10,2022,12:00:00,1,75,75105,2,3,1,3,BOULEVARD DE PORT ROYAL,"488,395,520,000","23,372,710,000",2.022E+11,813 698,A01,1,1,0,2,1,1,5,NULL,2.022E+11,1 099 350,813 698,A01,1,1,4,1,1979,1,8,0,-1,0,0,-1,2.022E+11,4,BOULEVARD DE PORT ROYAL,0,NULL,3,4,3,1,-1,-1,1,NULL,-1,1,0,6,30,
2.022E+11,20,10,2022,12:00:00,1,75,75105,2,3,1,3,BOULEVARD DE PORT ROYAL,"488,395,520,000","23,372,710,000",2.022E+11,813 698,A01,1,1,0,2,1,1,5,NULL,2.022E+11,1 099 351,813 699,Z01,1,1,1,-1,NULL,-1,-1,-1,-1,-1,-1,-1,2.022E+11,4,BOULEVARD DE PORT ROYAL,0,NULL,3,4,3,1,-1,-1,1,NULL,-1,1,0,6,30,
2.022E+11,20,10,2022,08:18:00,2,75,75115,2,1,2,7,AVENUE DU MAINE,"488,406,100,000","23,214,980,000",2.022E+11,813 690,A01,1,1,0,0,0,21,5,NULL,2.022E+11,1 099 340,813 690,A01,1,1,4,2,1993,1,8,0,-1,0,0,-1,2.022E+11,4,AVENUE DU MAINE,0,NULL,2,4,0,2,-1,-1,1,NULL,-1,2,0,1,30,
