RESEAU;STATUT;created_user;created_date;last_edited_user;last_edited_date;st_length(shape);geo_shape;geo_point_2d
vélopolitain;existant;;;;;5500.082497841509;"{""coordinates"": [[2.4623110004831927, 48.81904400042428], [2.459735999491746, 48.8212480001044], [2.4579759995151815, 48.823422999770216], [2.4551439993447937, 48.82610799988789], [2.4537279998053387, 48.827577000176156], [2.4466469993587254, 48.83252099996721], [2.4443720006478227, 48.834158999624485], [2.4359180005759353, 48.840288999882254], [2.4355749994858384, 48.84034500018066], [2.4351020002081434, 48.84052900001575], [2.4346950004101666, 48.840542999568804], [2.429780999783354, 48.83922900004162], [2.4271849994633086, 48.838438999603675], [2.4257899999291097, 48.837648000395205], [2.4239020004585528, 48.8365179997468], [2.421391000229794, 48.83548700000145], [2.4197819999015704, 48.83490800002413], [2.4184940006133067, 48.83444199976235], [2.416090999875406, 48.833777999744825], [2.414266999469472, 48.83360799977911], [2.412979999584061, 48.833692999986916], [2.411671000667764, 48.833834000281335], [2.4095250005376854, 48.8343000001293], [2.40810899953827, 48.83485100000711], [2.4063279994839397, 48.8355429998369]], ""type"": ""LineString""}";48.83311967502745, 2.435943125433053
vélopolitain;existant;;;;;2056.8283926828262;"{""coordinates"": [[2.297065000387274, 48.87304199962791], [2.3223850000058652, 48.86509599959674]], ""type"": ""LineString""}";48.869068999612324, 2.3097250001965697
vélopolitain;existant;;;;;1076.4173835240765;"{""coordinates"": [[2.3410109998194004, 48.8318430004346], [2.3490360005759197, 48.8296670000399], [2.349700999939113, 48.82956800018895], [2.3527260005320927, 48.830486999732855], [2.3545070004740194, 48.83105199995997]], ""type"": ""LineString""}";48.83053828738495, 2.3477734865352455
secondaire;existant;;;;;2102.7039297745177;"{""coordinates"": [[2.2573900005768657, 48.85860199992296], [2.257648000132236, 48.85904000020347], [2.2580979994355217, 48.862568999587346], [2.2583129997885885, 48.863769000114225], [2.25876300065068, 48.86427699957264], [2.25994300024341, 48.865406000339746], [2.26118800011366, 48.866238999614055], [2.2620249993609707, 48.86725600008362], [2.262583000165557, 48.867946999636956], [2.263355000055385, 48.86830000012163], [2.2642140000404694, 48.86848400009152], [2.265029000664917, 48.868455000362], [2.2659299993466435, 48.868427000109996], [2.268118999588325, 48.86940099982655], [2.2696640006667375, 48.870304000185214], [2.2708230002948055, 48.87086900027609], [2.271873999877226, 48.87109500004749], [2.2728820004684973, 48.87122199986431], [2.2740630002652664, 48.871446999968065]], ""type"": ""LineString""}";48.86677581378965, 2.263973231621304
secondaire;à réaliser;;;;;540.4793843150939;"{""coordinates"": [[2.313437000055338, 48.86280899966782], [2.3140810000837275, 48.8676510003214]], ""type"": ""LineString""}";48.86522999999461, 2.313759000069533
secondaire;à réaliser;;;;;837.598130629523;"{""coordinates"": [[2.3856849999001772, 48.88294900023304], [2.3921869998786027, 48.87722000038372], [2.3927239994230276, 48.877092999921125]], ""type"": ""LineString""}";48.87990921686289, 2.3891466931994048
secondaire;à réaliser;;;;;336.32104387526414;"{""coordinates"": [[2.4155969996024877, 48.85226300037133], [2.416091000283664, 48.84925600015698]], ""type"": ""LineString""}";48.850759500264154, 2.4158439999430756
secondaire;à réaliser;;;;;1057.000234780681;"{""coordinates"": [[2.2985240005688117, 48.87856000028693], [2.304683000293843, 48.88715399979666]], ""type"": ""LineString""}";48.882857000041795, 2.3016035004313276
secondaire;à réaliser;;;;;660.0751385936379;"{""coordinates"": [[2.3341229999992374, 48.86633800019108], [2.3339299995347287, 48.86618299975817], [2.3300240000678705, 48.86105899979033]], ""type"": ""LineString""}";48.863718656057635, 2.3320528272437144
vélopolitain;existant;;;;;894.1977579545818;"{""coordinates"": [[2.26745399997344, 48.86293599975467], [2.2658440004681935, 48.86279500000891], [2.264213999742197, 48.862456000135616], [2.262411000045009, 48.86208900028775], [2.2613809995008043, 48.861666000305384], [2.2604799998275924, 48.8612139999412], [2.2595790004952727, 48.86014099977631], [2.2590850001296667, 48.859081999682815], [2.2586769995851923, 48.85841899995076]], ""type"": ""LineString""}";48.861534205499105, 2.2625165734824293
