RESEAU;STATUT;created_user;created_date;last_edited_user;last_edited_date;st_length(shape);geo_shape;geo_point_2d
secondaire;à réaliser;;;;;1535.8852869562886;"{""coordinates"": [[2.3683049995013308, 48.85693600040587], [2.3768229995608547, 48.85974600040968], [2.384119000446273, 48.862046999825814], [2.385856999324843, 48.8624559998867], [2.3872090004978728, 48.862850999556514]], ""type"": ""LineString""}";48.859986651153804, 2.3777295419132196
vélopolitain;existant;;;;;2450.9638299124385;"{""coordinates"": [[2.310475999663762, 48.845033999663016], [2.294897999705558, 48.84014699974104], [2.2916789995743834, 48.83932800010546], [2.285028000227036, 48.837408000289464], [2.281400999616793, 48.836052000044475], [2.2809289994798947, 48.8352750002598]], ""type"": ""LineString""}";48.840431229108454, 2.2954973530055924
vélopolitain;existant;;;;;3497.8145998034174;"{""coordinates"": [[2.3694850001755623, 48.853350000121154], [2.3724680002573915, 48.859986000203776], [2.3728109997403393, 48.86094600039692], [2.372768000120738, 48.861693999870035], [2.372252999537384, 48.862709999986144], [2.3704499998857718, 48.86503900043025], [2.3674889998201074, 48.86890699975217], [2.364335000286151, 48.87304200014446], [2.3634980001881405, 48.87411499958879], [2.3633689995244347, 48.87452399968394], [2.3635839998443546, 48.87487699981726], [2.367768000293488, 48.879604999786174], [2.368175999376347, 48.879618999738554], [2.369741999752537, 48.8814389996906], [2.3701929995237303, 48.881523999840994]], ""type"": ""LineString""}";48.86825730260056, 2.3685140329972474
vélopolitain;existant;;;;;3520.4251780235654;"{""coordinates"": [[2.369142000398465, 48.85360400032301], [2.369098999554677, 48.853957000352025], [2.369269999760568, 48.85410599989103], [2.3697850003918246, 48.85537599980951], [2.3715339997075775, 48.85915299988455], [2.3721350004263524, 48.860352999970274], [2.3722100002537156, 48.860938999920826], [2.3721889995268475, 48.86166599980928], [2.371876999946637, 48.8623359997775], [2.3713840004795856, 48.86298599987791], [2.3690880004330386, 48.86600599957811], [2.3662770002718627, 48.86954199960973], [2.364249000381553, 48.87214599976001], [2.3629300006703957, 48.873946000161446], [2.3628539996404347, 48.874255999663866], [2.3628440005893316, 48.874694000250166], [2.363197999690372, 48.87520899967641], [2.365289999499504, 48.87760799983924], [2.3669849993554886, 48.87960499998728], [2.366995999990717, 48.880020999604675], [2.368990999641636, 48.882293000133004], [2.368980999349858, 48.88242699955725]], ""type"": ""LineString""}";48.86847182376767, 2.3678417200163118
vélopolitain;existant;;;;;923.0824802235205;"{""coordinates"": [[2.2891100004771423, 48.83228400038431], [2.292538000502642, 48.83081099965314], [2.294651000012626, 48.830162000136255], [2.295767000257937, 48.82976599979065], [2.3001660002073225, 48.82881299980035], [2.3004099998579584, 48.82875999967289]], ""type"": ""LineString""}";48.83027833210235, 2.2946827736551
vélopolitain;existant;;;;;412.95856520550893;"{""coordinates"": [[2.409104000216714, 48.84065400028469], [2.410300000039779, 48.84428300022739]], ""type"": ""LineString""}";48.84246850025604, 2.4097020001282465
vélopolitain;à réaliser;;;;;756.3955627775649;"{""coordinates"": [[2.3313759998123436, 48.834554999599206], [2.333372000002306, 48.83386199982681], [2.340860000385507, 48.831913000211074]], ""type"": ""LineString""}";48.83317085127846, 2.3360988525292137
vélopolitain;à réaliser;;;;;349.9644927458115;"{""coordinates"": [[2.370944000491836, 48.9018820003992], [2.370858000354473, 48.900443000294835], [2.3708800004735897, 48.89873599956095]], ""type"": ""LineString""}";48.900309663557046, 2.3708836509140716
vélopolitain;à réaliser;;;;;2101.243311077178;"{""coordinates"": [[2.347007999782168, 48.857212000169376], [2.34641799959462, 48.85620199995831], [2.345871000520125, 48.85542599964914], [2.344787000290313, 48.85430999988836], [2.344304000296269, 48.853780999993916], [2.337104999804788, 48.84071199978959], [2.3366759995134676, 48.8396390003535]], ""type"": ""LineString""}";48.84860264446234, 2.3415708417646393
vélopolitain;à réaliser;;;;;1342.901565090118;"{""coordinates"": [[2.2974300005243533, 48.87411499976405], [2.3056700002587225, 48.874962000312756], [2.3156259994579766, 48.87530000005707]], ""type"": ""LineString""}";48.874862001277485, 2.3065174491223086
secondaire;à réaliser;;;;;911.2793764578648;"{""coordinates"": [[2.33229899966357, 48.870587000213405], [2.335560000501538, 48.863161999847875], [2.3353240001355635, 48.86272400032919]], ""type"": ""LineString""}";48.866647239057656, 2.33401693039677
secondaire;à réaliser;;;;;665.5777622663685;"{""coordinates"": [[2.340603000168204, 48.846953999983754], [2.343478000347718, 48.84127700040537]], ""type"": ""LineString""}";48.84411550019456, 2.342040500257961
vélopolitain;existant;;;;;7243.5647837885135;"{""coordinates"": [[[2.4066169997046183, 48.83552899991746], [2.4073469997901915, 48.83605900014588], [2.407797999433837, 48.83655299994825], [2.4080010003172725, 48.837181999699204], [2.409104000216714, 48.84065400028469]], [[2.410300000039779, 48.84428300022739], [2.41090899947643, 48.846063999670974], [2.4111989997587244, 48.84725099971443], [2.4113490006587743, 48.84895899987634], [2.4112629999561292, 48.85013100025441], [2.410641000366653, 48.85366100026914], [2.409331999374335, 48.86100200031999], [2.4086879996698523, 48.8645590002844], [2.4089239995588856, 48.8676509996394], [2.408988000035589, 48.8688930000788], [2.4086670005965978, 48.872069000279886], [2.408430999433073, 48.87350799994084], [2.406757000619326, 48.87699399993608], [2.4062850006544143, 48.87769999971861], [2.404976000093369, 48.878009999704055], [2.4027230003959383, 48.87843299966567], [2.401822000011011, 48.878743999976024], [2.4010279996253345, 48.87961900030919], [2.40077000010795, 48.88035299959946], [2.4007059997371103, 48.88119900004101], [2.4008130004835198, 48.88187700006857], [2.4006629999714564, 48.8823279996217], [2.4000410004196118, 48.8826529997062], [2.3990750001385104, 48.882808000287696], [2.3980240000754174, 48.883034000064896], [2.397444000119289, 48.88324499960475], [2.397143999323912, 48.883738999606585], [2.3968010000509534, 48.88481099997902], [2.3966069996040504, 48.886145000063024], [2.3962529998601227, 48.88637800003438], [2.395803000274595, 48.88811300041101], [2.3956529999171368, 48.88831099976271], [2.3953739994424468, 48.889516999778465], [2.3955020006434937, 48.889856000018796], [2.3940539999460215, 48.89515299985498], [2.3935600000002792, 48.89598500032464], [2.3927450000325217, 48.89674699965669], [2.3919620002054485, 48.89703600012587], [2.3909750004836927, 48.8972270004107], [2.3900090005076096, 48.89731100016548], [2.3890859995889486, 48.89735400040028]]], ""type"": ""MultiLineString""}";48.87036997578649, 2.4041215775977074
vélopolitain;existant;;;;;459.8146300966441;"{""coordinates"": [[2.3702140002614813, 48.88265299994975], [2.370214000261681, 48.881890999708396], [2.370257000055546, 48.878517999796784]], ""type"": ""LineString""}";48.88058547462163, 2.3702315384076327
vélopolitain;à réaliser;;;;;440.6428060385041;"{""coordinates"": [[2.234451999990905, 48.865123999876225], [2.2363190003178515, 48.864093999839895], [2.2371979994867455, 48.863698000435825], [2.2375200001865094, 48.86313399957974], [2.2383360004710897, 48.862229999794714]], ""type"": ""LineString""}";48.86384163423449, 2.2365341910058123
vélopolitain;à réaliser;;;;;1436.935106733813;"{""coordinates"": [[2.364721000420848, 48.86650700010128], [2.366694999663163, 48.86313400043808], [2.3682830004389097, 48.85690799994281], [2.368906000101605, 48.85394300043674]], ""type"": ""LineString""}";48.860382744471075, 2.367218776006959
secondaire;existant;;;;;531.4627084757061;"{""coordinates"": [[2.3239999996251894, 48.84396400011391], [2.327814000127185, 48.848027000204276]], ""type"": ""LineString""}";48.8459955001591, 2.325906999876187
secondaire;à réaliser;;;;;2081.9544083329133;"{""coordinates"": [[2.2291089993930964, 48.86194800023506], [2.2314910001180692, 48.86637999968132], [2.2324129996337034, 48.867283999817694], [2.2371769994964215, 48.86924600020437], [2.241510999618867, 48.87163100000134], [2.2441939993269946, 48.87360700013139], [2.246275000445262, 48.87610500040957]], ""type"": ""LineString""}";48.86931712199243, 2.2372729350400355
secondaire;existant;;;;;1246.0267774729368;"{""coordinates"": [[2.399397000330055, 48.848845999954456], [2.41124200019199, 48.849016000438034], [2.4154470000689576, 48.849298000216855], [2.4163480004481683, 48.84924200023476]], ""type"": ""LineString""}";48.849005188944496, 2.407876186117203
secondaire;existant;;;;;375.384781974725;"{""coordinates"": [[2.343059999512373, 48.87145499970356], [2.3426839996231235, 48.87019099977389], [2.3436070001199663, 48.86819399983574]], ""type"": ""LineString""}";48.869803574413176, 2.343042998124962
vélopolitain;existant;;;;;202.81002177022543;"{""coordinates"": [[2.387960000461304, 48.8997090000697], [2.3862859994540697, 48.898256999598004]], ""type"": ""LineString""}";48.89898299983385, 2.387122999957687
vélopolitain;à réaliser;;;;;2950.714168403332;"{""coordinates"": [[2.3330930000093324, 48.87302799955249], [2.370449999343283, 48.88287800029036]], ""type"": ""LineString""}";48.877952999921426, 2.3517714996763077
vélopolitain;à réaliser;;;;;253.63065212384618;"{""coordinates"": [[2.364913999581089, 48.84433500000732], [2.3675320006174854, 48.8458239999183]], ""type"": ""LineString""}";48.845079499962814, 2.3662230000992874
vélopolitain;à réaliser;;;;;1315.112511552307;"{""coordinates"": [[2.316581000673399, 48.846859000101254], [2.3144030006169687, 48.8508090004409], [2.315239999964646, 48.857994999670666], [2.314618000007695, 48.858065999686524]], ""type"": ""LineString""}";48.852555479138054, 2.3150714101217673
vélopolitain;existant;;;;;386.59533992411775;"{""coordinates"": [[2.367102999765939, 48.8170660002982], [2.3647430001930023, 48.82017400005752]], ""type"": ""LineString""}";48.81862000017786, 2.3659229999794706
vélopolitain;existant;;;;;3425.7941764928405;"{""coordinates"": [[2.366072999641581, 48.820555999710464], [2.369324000311643, 48.82151599982347], [2.3813719998402614, 48.82548599994635], [2.384719999582338, 48.82672899961526], [2.388152999879407, 48.82853700008497], [2.391629000615191, 48.829865000194474], [2.3935599995572807, 48.83040200009393], [2.3953629997665136, 48.83082600016176], [2.3973800000665113, 48.83156000008116], [2.399396999446839, 48.83235100033952], [2.402786999906433, 48.83356599986146], [2.404933000581259, 48.83438499988675], [2.4066500003623186, 48.835486999675524]], ""type"": ""LineString""}";48.82767438438712, 2.386512147990136
vélopolitain;existant;;;;;1030.683024578477;"{""coordinates"": [[2.319691999702239, 48.82452900033218], [2.3231519996719117, 48.823762000186974], [2.3238229999657136, 48.823588999622544], [2.3247400006031262, 48.823320999855554], [2.326424999609693, 48.822946999856015], [2.3272399996253217, 48.82283400008492], [2.330350999771304, 48.8221869996541], [2.33299100048852, 48.82158499969299]], ""type"": ""LineString""}";48.82303902208214, 2.326337270911292
vélopolitain;existant;;;;;1057.447042203887;"{""coordinates"": [[2.2962500003204127, 48.875095999905355], [2.2956060001749807, 48.875250999851204], [2.294984000393155, 48.875293000436194], [2.294555000655432, 48.87523699999821], [2.2938249994500315, 48.875088999842355], [2.2934500003065565, 48.874905000351184], [2.2930420002760403, 48.874551999995894], [2.2928700001827504, 48.87423500007332], [2.2927200004113826, 48.87374099969652], [2.292795000268698, 48.87332500014528], [2.2932460003694937, 48.87280200022695], [2.2936639996513435, 48.872541000245164], [2.294350999734039, 48.87230800041483], [2.29507000006474, 48.87223100005358], [2.2958419998672963, 48.87235799958579], [2.296560999708363, 48.872597999947864], [2.2970869998189367, 48.873092000092285], [2.297300999454417, 48.873557000041096], [2.2973009997583, 48.87406600003649], [2.296925999881495, 48.874637000076234], [2.296539999752727, 48.87494099957719], [2.296303999715242, 48.87506000014282]], ""type"": ""LineString""}";48.87376519278806, 2.29502054002772
vélopolitain;à réaliser;;;;;2728.928401756808;"{""coordinates"": [[2.2882250006243368, 48.832817000435035], [2.29206599980463, 48.8351339998226], [2.2945759997460993, 48.83633399969697], [2.296743000421525, 48.83746400015773], [2.299962000652698, 48.8389750001455], [2.3016790004075407, 48.83972399985995], [2.3128369997159615, 48.84299999971927], [2.3175139995768776, 48.84439800016534], [2.320110999776114, 48.84501900012176]], ""type"": ""LineString""}";48.83977992265291, 2.3038168194132242
vélopolitain;à réaliser;;;;;324.52155721142475;"{""coordinates"": [[2.406542000117371, 48.877205999864536], [2.4105759996550242, 48.87840500029516]], ""type"": ""LineString""}";48.877805500079845, 2.4085589998861976
secondaire;à réaliser;;;;;889.7325489327314;"{""coordinates"": [[2.3797200005901393, 48.8762530004483], [2.3786150004996665, 48.87640099986941], [2.3774990006142542, 48.876450999971944], [2.376330000617963, 48.87633799997508], [2.3756750000461593, 48.87631700016308], [2.374956999982961, 48.876464999652754], [2.3745269995581273, 48.87671899972614], [2.37422699994556, 48.877000999574], [2.3741089997080325, 48.87745999999148], [2.3740980003424728, 48.877728000103566], [2.3742700005932487, 48.878306000429646], [2.3743560001360935, 48.878842999933156], [2.3743879994277752, 48.87953399977601], [2.3741839996562373, 48.88044399993569], [2.373734000050428, 48.88097999985535]], ""type"": ""LineString""}";48.87754299958515, 2.3757544627772016
secondaire;à réaliser;;;;;1176.062771365893;"{""coordinates"": [[2.2573040006615295, 48.8383959995753], [2.258377000587361, 48.84071200020977], [2.2600079994319064, 48.84291499985397], [2.2617240001757333, 48.845062000055066], [2.264085000521062, 48.847943000339804]], ""type"": ""LineString""}";48.8433157203059, 2.26046516376066
secondaire;à réaliser;;;;;3608.3043851925836;"{""coordinates"": [[2.285391999431861, 48.886461999575864], [2.296699999754101, 48.88505100007693], [2.30290200035986, 48.88428899981416], [2.3162700006718793, 48.881369000060495], [2.326826999699083, 48.877954000265966], [2.331804999373345, 48.87634499981097]], ""type"": ""LineString""}";48.882409452190316, 2.308820725991825
secondaire;à réaliser;;;;;852.6621822692341;"{""coordinates"": [[2.319274000112481, 48.83057100029824], [2.3205829993363656, 48.832648000208145], [2.3217199999024327, 48.83397500007589], [2.321998999650888, 48.83603799981493], [2.324059000672497, 48.83725200044763]], ""type"": ""LineString""}";48.834155356729674, 2.321492767070061
secondaire;à réaliser;;;;;425.14316130015425;"{""coordinates"": [[2.3441859997393952, 48.81556800006748], [2.3440150002983957, 48.81730599983691], [2.344573000347476, 48.81935499988407]], ""type"": ""LineString""}";48.81747603426229, 2.34420668088219
secondaire;à réaliser;;;;;408.80932874930113;"{""coordinates"": [[2.390234000185113, 48.837125000077165], [2.391136000523448, 48.83727999984568], [2.3944830003229183, 48.83939900044445]], ""type"": ""LineString""}";48.838126112704465, 2.3924107831329158
vélopolitain;à réaliser;;;;;188.73548359813606;"{""coordinates"": [[2.3016680000724294, 48.86420700018648], [2.301828999854347, 48.86251300003637]], ""type"": ""LineString""}";48.86336000011143, 2.301748499963388
secondaire;à réaliser;;;;;486.25667561682667;"{""coordinates"": [[2.3676070002837415, 48.84578900033679], [2.3726390003040434, 48.848633999720654]], ""type"": ""LineString""}";48.84721150002872, 2.3701230002938924
vélopolitain;existant;;;;;920.2236014147211;"{""coordinates"": [[2.3514600002704342, 48.86433399961072], [2.361803000606148, 48.866818000242205], [2.3631329998925485, 48.86732600004164]], ""type"": ""LineString""}";48.8657525946783, 2.357320467742625
vélopolitain;à réaliser;;;;;408.57619368040844;"{""coordinates"": [[2.2716380001627376, 48.84048599989026], [2.2729679997603585, 48.842067999595066], [2.2732470004509184, 48.84212499990833], [2.274587999511182, 48.843543999781716]], ""type"": ""LineString""}";48.84203774710475, 2.273088611669042
vélopolitain;à réaliser;;;;;1899.0518579288407;"{""coordinates"": [[2.3266119996673775, 48.82850900008475], [2.3198319995478935, 48.84499099990325]], ""type"": ""LineString""}";48.836749999994, 2.3232219996076355
secondaire;existant;;;;;72.85846915944579;"{""coordinates"": [[2.413097999438754, 48.85435300008717], [2.4122290006650826, 48.854670000419155]], ""type"": ""LineString""}";48.85451150025317, 2.4126635000519183
secondaire;existant;;;;;968.8973802625312;"{""coordinates"": [[2.4022079999240096, 48.84498400037126], [2.4152969995431146, 48.843846999676]], ""type"": ""LineString""}";48.84441550002363, 2.4087524997335614
secondaire;à réaliser;;;;;1894.2738300783215;"{""coordinates"": [[2.397230000214377, 48.83208299962363], [2.4034519993605254, 48.83657399982713], [2.405641000331788, 48.844524999674086], [2.406263000356163, 48.84736399991066]], ""type"": ""LineString""}";48.83884675134478, 2.403049367892239
secondaire;existant;;;;;1011.1900531223631;"{""coordinates"": [[2.286571999531992, 48.863020999710805], [2.275092999653728, 48.86423499972084], [2.274040999722284, 48.86429800002687], [2.2729469999875835, 48.864214000253604]], ""type"": ""LineString""}";48.86372745553588, 2.2797623278307593
secondaire;existant;;;;;406.2170415077958;"{""coordinates"": [[2.2521110005848963, 48.844651999908876], [2.25526600051055, 48.845343999950984], [2.257476000072966, 48.84531599996888]], ""type"": ""LineString""}";48.845132881397, 2.254778318223029
secondaire;à réaliser;;;;;2076.936652470179;"{""coordinates"": [[2.359657000630594, 48.86474299992462], [2.332641999719331, 48.87033199992816]], ""type"": ""LineString""}";48.86753749992639, 2.3461495001749624
secondaire;à réaliser;;;;;1594.0599920969653;"{""coordinates"": [[2.3242950006630845, 48.868045999652765], [2.322449999792592, 48.86858200040768], [2.3203469997758908, 48.869061999597385], [2.3185439994764137, 48.86973999968949], [2.316355999424501, 48.8710950003335], [2.3102619998989073, 48.87284500002146], [2.307944000241589, 48.87414300043948], [2.3063140005859624, 48.87451000019329], [2.305540999874294, 48.874933000109365]], ""type"": ""LineString""}";48.87135649008236, 2.3148620456415068
secondaire;à réaliser;;;;;1705.6149192477744;"{""coordinates"": [[2.3092530002301377, 48.83353799999777], [2.3065500001018377, 48.836446999683034], [2.3041889995720557, 48.84038799968888], [2.302794000230653, 48.84266100040224], [2.3015280006014223, 48.8478300002415]], ""type"": ""LineString""}";48.840291558666564, 2.304642839827755
secondaire;à réaliser;;;;;151.5331700329064;"{""coordinates"": [[2.23718800046789, 48.86371999973219], [2.237992000388183, 48.86357800030113], [2.239183000366356, 48.863366999734446]], ""type"": ""LineString""}";48.863543626861954, 2.238185522904825
vélopolitain;existant;;;;;1205.5531036082632;"{""coordinates"": [[[2.2712519993532103, 48.83801499990509], [2.273869999889558, 48.83709700002563], [2.2784189994017936, 48.83605200015483]], [[2.2796309998929045, 48.835762000135226], [2.280950999715968, 48.83541599987982], [2.283997999865485, 48.83441299990253], [2.287216000568224, 48.83305699981634]]], ""type"": ""MultiLineString""}";48.83568050615071, 2.2793087490268005
vélopolitain;à réaliser;;;;;1799.3863366243731;"{""coordinates"": [[2.3397449997494064, 48.87205400041474], [2.315712000275957, 48.87529999976276]], ""type"": ""LineString""}";48.87367700008875, 2.3277285000126815
secondaire;à réaliser;;;;;550.189402026623;"{""coordinates"": [[2.2813690004353266, 48.849459999713275], [2.278192999934271, 48.851437000413725], [2.275801000125167, 48.85277099982035]], ""type"": ""LineString""}";48.85114822487753, 2.2786042959095014
secondaire;à réaliser;;;;;657.8166868445041;"{""coordinates"": [[2.3146819994237386, 48.85364699955921], [2.3057560002706845, 48.854197000371734]], ""type"": ""LineString""}";48.85392199996547, 2.3102189998472116
vélopolitain;existant;;;;;1347.2997264111657;"{""coordinates"": [[2.2987340004157115, 48.87822899962982], [2.308878000100124, 48.88040200025877], [2.3164420005126303, 48.88136900015878]], ""type"": ""LineString""}";48.879980629728216, 2.3075569927081987
vélopolitain;existant;;;;;291.8686043152146;"{""coordinates"": [[2.3693130001053757, 48.85141600001991], [2.3699570000876933, 48.85135999956709], [2.370836999507883, 48.849241999666134]], ""type"": ""LineString""}";48.85054000541437, 2.3702294539681135
secondaire;à réaliser;;;;;234.04759220851787;"{""coordinates"": [[2.4121639998677473, 48.8537880001544], [2.415254000120009, 48.854310000335104]], ""type"": ""LineString""}";48.85404900024476, 2.413708999993878
secondaire;existant;;;;;1110.7828879937294;"{""coordinates"": [[2.2877739994061717, 48.862964000255154], [2.293353000237351, 48.86468699964221], [2.2998760004921444, 48.865054000160484], [2.301506999511506, 48.864602000269755], [2.301678999473504, 48.86417800007639]], ""type"": ""LineString""}";48.86443024434358, 2.2948135760700796
secondaire;existant;;;;;343.19358295057793;"{""coordinates"": [[2.2879140006452805, 48.832641000227845], [2.2846520006687423, 48.83042999960373]], ""type"": ""LineString""}";48.83153549991579, 2.2862830006570114
secondaire;existant;;;;;1251.1670714967752;"{""coordinates"": [[2.2699859999457326, 48.83315600044466], [2.2723029995626343, 48.83428600013163], [2.2729900005500925, 48.83456900003186], [2.2736330002152623, 48.834483999633854], [2.2747490004912203, 48.83417300037203], [2.2757579996339787, 48.833594000260334], [2.2773030004593666, 48.83314200014511], [2.2805430005652267, 48.83205499962795], [2.2847060005113407, 48.830444000332456]], ""type"": ""LineString""}";48.83286583624813, 2.277311434001894
secondaire;à réaliser;;;;;625.6888192832146;"{""coordinates"": [[2.404375000008926, 48.87172999987274], [2.4065319997074615, 48.87717399980671]], ""type"": ""LineString""}";48.87445199983972, 2.4054534998581936
secondaire;à réaliser;;;;;1112.5934396722348;"{""coordinates"": [[2.2874740001732885, 48.86337399999529], [2.2939969998964913, 48.8724070001658]], ""type"": ""LineString""}";48.86789050008055, 2.2907355000348897
vélopolitain;à réaliser;;;;;1818.5450016665714;"{""coordinates"": [[2.329874000383655, 48.861058999927856], [2.3313119997155183, 48.8606489997911], [2.3364190006371013, 48.8594349996574], [2.3400239998219354, 48.85903999976148], [2.3417189994365843, 48.8587580002776], [2.347104999434232, 48.85734600034609], [2.3492930001587804, 48.85668200015417], [2.350708999353754, 48.856145999672634], [2.3529619994276354, 48.85535499958424]], ""type"": ""LineString""}";48.85847310655114, 2.341488550366729
vélopolitain;à réaliser;;;;;210.74009747442082;"{""coordinates"": [[2.319015999951723, 48.86263299975895], [2.320325000039923, 48.864319999875036]], ""type"": ""LineString""}";48.863476499817, 2.319670499995823
secondaire;à réaliser;;;;;1459.850006092908;"{""coordinates"": [[2.330367999318067, 48.82218700041629], [2.3314620004838735, 48.82545799982247], [2.332621000149336, 48.82797199978546], [2.3369550002697137, 48.83452600026257]], ""type"": ""LineString""}";48.82853732778373, 2.3332987060110253
vélopolitain;existant;;;;;3611.1859449531307;"{""coordinates"": [[2.3237800006731444, 48.86646500013325], [2.33244900064347, 48.86358499984668], [2.34077500064437, 48.86084699958892], [2.3516749996644357, 48.85737399961885], [2.360772999739303, 48.855284999640844], [2.3642059993208226, 48.854042000382464], [2.367725000552259, 48.853393000341434], [2.3686049997547483, 48.85325900033374]], ""type"": ""LineString""}";48.85942257931199, 2.3460796371053037
vélopolitain;existant;;;;;489.335440501122;"{""coordinates"": [[2.3185010001402944, 48.891583999627024], [2.3134160001754127, 48.894434000346884]], ""type"": ""LineString""}";48.893008999986954, 2.3159585001578535
vélopolitain;à réaliser;;;;;652.4727445250746;"{""coordinates"": [[2.318629999969294, 48.89152699969887], [2.325324999977638, 48.88766199955095]], ""type"": ""LineString""}";48.889594499624906, 2.321977499973466
vélopolitain;à réaliser;;;;;1066.8589038110185;"{""coordinates"": [[2.3768660002218156, 48.87208300042577], [2.3677470004533676, 48.86886500031478], [2.363949000138847, 48.86767900036137]], ""type"": ""LineString""}";48.869832087982985, 2.37042376140966
secondaire;existant;;;;;1575.1668905798065;"{""coordinates"": [[2.2419399997593903, 48.8491290001566], [2.2405240002667766, 48.849918999819074], [2.239580000029873, 48.85059699995555], [2.239022000157424, 48.85121799986756], [2.238807999591823, 48.85217800040143], [2.2389359998610927, 48.85418300017413], [2.238893999924589, 48.85528500007593], [2.2386359999933063, 48.856159999742104], [2.238507000662228, 48.85706299973863], [2.237349000175231, 48.85847499972189], [2.237220000597889, 48.859774000321416], [2.2374770004874476, 48.86062099964314], [2.237948999673465, 48.86112900007815], [2.238164000604595, 48.862174000062694]], ""type"": ""LineString""}";48.8552178604676, 2.2387711783816657
secondaire;existant;;;;;366.71993859923555;"{""coordinates"": [[2.3472870006084574, 48.86736100040507], [2.347350999372481, 48.86789100018387], [2.347705000344822, 48.86844800039153], [2.3478559993422956, 48.870607999955176]], ""type"": ""LineString""}";48.868958812022186, 2.3476575455751973
secondaire;existant;;;;;569.5792688654535;"{""coordinates"": [[2.3141459995971454, 48.887322999560965], [2.3150900006143464, 48.887958000319955], [2.31843700053226, 48.89156999979493]], ""type"": ""LineString""}";48.88936546834818, 2.316360839908617
secondaire;existant;;;;;872.2352207338001;"{""coordinates"": [[2.3787980005326235, 48.88884699995406], [2.3719310004141128, 48.895252000070315]], ""type"": ""LineString""}";48.89204950001219, 2.375364500473368
secondaire;à réaliser;;;;;1550.6982855785502;"{""coordinates"": [[2.3424910005239723, 48.821417000213415], [2.3419980003796312, 48.8220809998091], [2.3415899999549965, 48.82292899963328], [2.3414610002006677, 48.823946000354844], [2.341675999362271, 48.82636200011165], [2.3420619995026963, 48.827294000125534], [2.342791999365733, 48.82843799998483], [2.343885999860589, 48.83014800033815], [2.344165000586582, 48.830627999769796], [2.3449590000768836, 48.834894000253705]], ""type"": ""LineString""}";48.82809129948772, 2.3429568179944344
secondaire;à réaliser;;;;;475.18870520845945;"{""coordinates"": [[2.325732999564123, 48.856089000388636], [2.3274919999665915, 48.85696500002008], [2.329251999573114, 48.859533999775394]], ""type"": ""LineString""}";48.85758308216313, 2.327691266988561
vélopolitain;existant;;;;;301.6908535099016;"{""coordinates"": [[2.337040999671531, 48.8346109997932], [2.332941999809429, 48.834412999891725]], ""type"": ""LineString""}";48.83451199984246, 2.3349914997404797
vélopolitain;à réaliser;;;;;2278.963206651156;"{""coordinates"": [[2.3768659998479302, 48.872224000163634], [2.37944099937191, 48.87270399960614], [2.382359999979573, 48.873353000360794], [2.3840330000769883, 48.87357900006695], [2.3847629999372932, 48.873719999888685], [2.3861359996040368, 48.8743689996349], [2.387166000523244, 48.87467900014163], [2.38819599970379, 48.87467899960793], [2.388883000360523, 48.874905000231934], [2.389826999618641, 48.87527200043291], [2.390899999865447, 48.875441999604725], [2.392230000147349, 48.87532899999072], [2.3949339994365433, 48.875216000116474], [2.397851999866423, 48.8754420000792], [2.3993109996718074, 48.875553999793915], [2.4025730005826222, 48.87611900038717], [2.406477999737147, 48.87713499976378]], ""type"": ""LineString""}";48.87480767901959, 2.391644769672832
vélopolitain;à réaliser;;;;;396.8865977885512;"{""coordinates"": [[2.360558999800767, 48.815596000232986], [2.359528999673652, 48.81910000013466]], ""type"": ""LineString""}";48.81734800018383, 2.3600439997372096
vélopolitain;à réaliser;;;;;1590.5613473688777;"{""coordinates"": [[2.327405999604526, 48.88364699998609], [2.3256040001003098, 48.88760499983798], [2.328929999510282, 48.89753699971828]], ""type"": ""LineString""}";48.8905334151426, 2.3270434376128994
vélopolitain;à réaliser;;;;;1034.0956411761438;"{""coordinates"": [[2.2261050004007585, 48.85295500030972], [2.226232999711291, 48.856088999904216], [2.2274780006459007, 48.859068000334496], [2.2291089993930964, 48.86194800023506]], ""type"": ""LineString""}";48.85758975653047, 2.2271248685911496
secondaire;à réaliser;;;;;707.1960033624748;"{""coordinates"": [[2.3636910000203732, 48.872872999800194], [2.368368999927089, 48.87597799967439], [2.3700000000223027, 48.87764299956724]], ""type"": ""LineString""}";48.87512512584679, 2.366955354552709
secondaire;à réaliser;;;;;2451.5877050640543;"{""coordinates"": [[[2.3325779997813023, 48.88368300028907], [2.3348739998755237, 48.880592000030006], [2.3375770002345275, 48.87837699996979], [2.3403449995462733, 48.875893000171274], [2.3409890006000644, 48.87507500028936], [2.342533999692334, 48.873917000265266], [2.342941999659066, 48.873466000144575], [2.343178000673691, 48.87260500043908], [2.343242000372239, 48.87205399999318], [2.343059999512373, 48.87145499970356]], [[2.3436070001199663, 48.86819399983574], [2.3440149995683917, 48.867269999808016], [2.3407750005513077, 48.86093199973849]]], ""type"": ""MultiLineString""}";48.873375626509365, 2.339675227824093
vélopolitain;existant;;;;;395.0894158617815;"{""coordinates"": [[2.373691000338094, 48.819325999796924], [2.369356000542463, 48.82143100020943]], ""type"": ""LineString""}";48.82037850000317, 2.3715235004402784
vélopolitain;existant;;;;;228.68869420247455;"{""coordinates"": [[2.334766000069772, 48.82119999985961], [2.3377220006277986, 48.820552000240944]], ""type"": ""LineString""}";48.820876000050276, 2.336244000348785
