Title,Publication Year,Image URL,Article Content,Article Description,female_mentions,male_mentions,representation
"Bois & Habitat, Bike Brussels ou le salon Hope : que faire ce week-end des 23 et 24 mars ?",2024,"https://www.lavenir.net/resizer/1jpJE--z3E5vRqxlSxpNWl_wCOY=/1200x630/filters:format(jpeg):focal(545x368:555x358):watermark(cloudfront-eu-central-1.images.arcpublishing.com/ipmgroup/UFVD77VYQZHRHBUO5OR7E7I6TY.png,0,-0,0,100)/cloudfront-eu-central-1.images.arcpublishing.com/ipmgroup/KMMGBLRI5ZAKHCKGT6TBV2VOYQ.jpg","Pour construire ou rénover, aménager vos espaces de vie et vos extérieurs, le bois est le matériau de toutes les audaces, du confort et du bien-être. Ce week-end, il est à lhonneur à Bois &amp; Habit… [+3560 chars]","Faire un tour au salon Bois & Habitat, la vitrine grandeur nature de la filière bois, apprendre des astuces pour un quotidien plus durable ou plutôt découvrir les nouveautés vélo de Bike Brussels : la sélection des activités du week-end, par la rédaction du D…",0,2,male
Les “vélautos” de plus en plus présents sur les routes belges : “Ceci n’est pas un vélo”,2024,"https://www.dhnet.be/resizer/nfxLZ62m28A6Mu0aL7OjoHBhyKQ=/1200x630/filters:format(jpeg):focal(1627x854:1637x844):watermark(cloudfront-eu-central-1.images.arcpublishing.com/ipmgroup/KSYODHLMNBBMDA7B5YPJPTFVNY.png,0,-0,0,100)/cloudfront-eu-central-1.images.arcpublishing.com/ipmgroup/OR47ZZBRSJDHTH4ODXJN2CAZC4.jpg",Larticle 2.7 du Code de la Route précise que la piste cyclable désigne la partie de la voie publique réservée à la circulation des bicyclettes et des cyclomoteurs à deux roues classe A. Dans le dicti… [+6969 chars],Des citoyens appellent à légiférer pour redéfinir le poids et les dimensions maximaux des vélos. Vias estime qu’il faut surveiller l’évolution du phénomène mais indique aussi qu’il n’y a pas encore lieu de s’inquiéter. ...,1,1,equal
Les femmes en force au cœur du peloton : le vélo comme vecteur d’émancipation,2024,https://www.lavenir.net/resizer/v2/SVBW5M3UW5BDFIW6UBB5KYRG5I.jpg?auth=73d08dd996cb28cd50fe7151f00d74c311c502a11377d99575b4627187c592aa&width=1200&height=630&quality=85&focal=550%2C366&watermark=https%3A%2F%2Fcloudfront-eu-central-1.images.arcpublishing.com%2Fipmgroup%2FUVYY255VT5BDBHOGCTGBCGI364.png%3A100%3A0%2C558,"Nous ne sommes bien sûr plus au début XXe, quand la bicyclette était considérée comme un accessoire masculin. Mais les freins à lutilisation du vélo restent plus forts chez les femmes. On identifie … [+5963 chars]""","La Flèche wallonne mercredi, Liège-Bastogne-Liège dimanche, la semaine prochaine, le vélo sera roi. Avec chaque fois des épreuves féminines. Car la petite reine n’a jamais aussi bien porté son nom. ...",4,1,female
Les femmes en force au cœur du peloton : le vélo comme vecteur d’émancipation,2024,https://www.dhnet.be/resizer/v2/SVBW5M3UW5BDFIW6UBB5KYRG5I.jpg?auth=73d08dd996cb28cd50fe7151f00d74c311c502a11377d99575b4627187c592aa&width=1200&height=630&quality=85&focal=550%2C366&watermark=https%3A%2F%2Fcloudfront-eu-central-1.images.arcpublishing.com%2Fipmgroup%2F3WZLNJVGMFAQRHOXFC5ZVE3GU4.png%3A100%3A0%2C559,"Nous ne sommes bien sûr plus au début XXe, quand la bicyclette était considérée comme un accessoire masculin. Mais les freins à lutilisation du vélo restent plus forts chez les femmes. On identifie … [+5963 chars]""","La Flèche wallonne mercredi, Liège-Bastogne-Liège dimanche, la semaine prochaine, le vélo sera roi. Avec chaque fois des épreuves féminines. Car la petite reine n’a jamais aussi bien porté son nom. ...",4,1,female
"Les seniors dans le sport (9/9), avec le cycliste Herman Derdin (82 ans) : “J’ai fait 37000 kilomètres en une saison !”",2024,"https://www.dhnet.be/resizer/aELff_rVQSSKQGDsxXC0jeyuCN4=/1200x630/filters:format(jpeg):focal(1462.5x1052:1472.5x1042):watermark(cloudfront-eu-central-1.images.arcpublishing.com/ipmgroup/6LJWAO74QZHR7KW5AX2LGSOHQQ.png,0,-0,0,100)/cloudfront-eu-central-1.images.arcpublishing.com/ipmgroup/D4NL7A3PHBG47HQWP7ZAETCQEY.jpg","Herman, quel est votre passé sportif ? Avez-vous toujours été cycliste ?
Non, pas du tout ! Jai découvert le vélo assez tardivement, à lapproche de la soixantaine. Jai joué au football de mes 14 à m… [+7890 chars]","Le Brabançon détient le record belge de l’Heure des plus de 80 ans avec 38,313km parcourus sur la piste de Heusden-Zolder. ...",0,1,male
Cette société va doubler sa production de vélos fabriqués en France,2024,https://img.20mn.fr/LWxQGgRwR2ifME1UbJKq8yk/1444x920_the-arcade-cycle-factory-where-bikes-for-bicycle-sharing-services-in-cities-worldwide-are-made-like-the-electric-bike-for-paris-velib-bicycle-sharing-service-la-roche-sur-yon-france-19-12-2017-chamussy-lcham024-credit-chamussy-sipa-1712201314,"Cétait impensable il y a encore quelques années. Dépouillées par la mondialisation de la production des vélos, les marques françaises avaient abandonné la fabrication dans lHexagone pour des méga usi… [+2304 chars]","En Vendée, l’entreprise Arcade Cycles a inauguré sa nouvelle usine à La Roche-sur-Yon pour faire face à la demande",1,1,equal
"Tramway, vélo, trains... Strasbourg, reine des mobilités écolos",2024,https://www.lexpress.fr/resizer/lP5IQuv9jpmQe9z8YeG3tQHkQI8=/1200x630/filters:focal(478x1035:488x1045)/cloudfront-eu-central-1.images.arcpublishing.com/lexpress/FNTLNGD7AVGSXGDS5527DBV7YY.jpg,"Cela devient une habitude Pionnière depuis des décennies en matière de mobilités durables, Strasbourg figure toujours parmi les meilleurs élèves dans cette discipline, tous types de transports confon… [+7140 chars]",Voilà trente ans que la préfecture du Bas-Rhin mise sur les transports alternatifs à la voiture. Et ce n’est pas fini : un périph pour vélos est en préparation !,0,3,male
"Île-de-France : 130.000 places de parkings vélos d’ici 2030, dont 30.000 près des stations du Grand Paris",2024,https://img.20mn.fr/q5XWFbnZTK2OtWwn4WwSoA/1444x920_parking-velos-gare-rennes,"«Sortir 130.000 places de parkings vélos dici 2030. » La promesse est lancée par la présidente dÎle-de-France Mobilités (IDFM) Valérie Pécresse, qui était en visite jeudi sur le chantier du parking à… [+2204 chars]","« Cela nécessite que les villes nous donnent l'autorisation de construire sur leur espace public », a précisé Valérie Pécresse, fustigeant au passage la mairie de Paris",0,3,male
"Transport : C’est officiel, à Paris, le vélo met l’auto dans le rétro",2024,https://img.20mn.fr/gtb0Oo-AQMiDndp2wtwIfik/1444x920_illustration-de-la-pratique-du-velo-a-paris-place-de-la-concorde-benayacheadil-sipa-04285-credit-adil-benayache-sipa-2310021528,"Cest un signe qui ne trompe pas, malgré la pluie et le temps grisâtre des dernières semaines : les pistes cyclables de la capitale ne désemplissent pas. Une impression visuelle confirmée par les comp… [+4196 chars]","Selon l'Institut Paris Région, la part des déplacements à vélo est également supérieure à celle de la voiture pour les déplacements entre la capitale et la petite couronne",2,1,female
"La vie est faite de défis"" : à 75 ans"," il tente de battre un record du monde à vélo""",2024,https://france3-regions.francetvinfo.fr/image/ygWRIiLxxMmzeOtmLsDbDhkR0P8/930x620/regions/2024/04/03/s-d-fi-d-un-cycliste-de-75-ans-record-sur-piste-00-00-40-24-660d4fd458166636191116.jpg,"Il n'y a pas d'âge pour se lancer des défis. À 75 ans, un habitant du Puy-en-Velay va tenter de battre le record du monde de vélo sur piste détenu par un Ubayen depuis 2022.
Un vélo rouge sous le s… [+1416 chars]""",0,3,male
