product_link,product_name,product_price,gender
https://www.decathlon.fr/p/velo-vtt-randonnee-explore-500-29/_/R-p-330628?mc=8615847&c=orange,"VÉLO VTT RANDONNÉE EXPLORE 500 ROUGE 29"",499€,female
https://www.decathlon.fr/p/velo-tout-chemin-riverside-120-gris-metal/_/R-p-300806?mc=8771010&c=gris,"VÉLO TOUT CHEMIN RIVERSIDE 120 GRIS",279€,female
https://www.decathlon.fr/p/velo-ville-longue-distance-500-assistance-electrique-cadre-bas/_/R-p-302285?mc=8526895&c=vert,"VELO VILLE LONGUE DISTANCE 500 ASSISTANCE ELECTRIQUE CADRE BAS.",1 499€,female
https://www.decathlon.fr/p/velo-vtt-electrique-semi-rigide-27-5-femme-e-st-500-prune/_/R-p-334407?mc=8649307&c=violet,"vélo VTT électrique semi-rigide 27,5" femme - E-ST 500 prune",1 499€,female
https://www.decathlon.fr/p/velo-vtt-electrique-tout-suspendu-29-stilus-e-all-mountain-ocre/_/R-p-X8753489?mc=8753489&c=jaune,"Vélo Vtt électrique tout suspendu 29" - STILUS E-ALL MOUNTAIN Ocre",3 799€,female
https://www.decathlon.fr/p/velo-ville-electrique-a-moteur-automatique-owuru-cadre-bas-ld-920-e/_/R-p-302308?mc=8664452,"VELO VILLE ELECTRIQUE A MOTEUR AUTOMATIQUE OWURU CADRE BAS LD 920 E",2 999€,female
https://www.decathlon.fr/p/velo-vtt-randonnee-explore-540-prune-noir-29/_/R-p-325317?mc=8607220&c=rouge,"VÉLO VTT RANDONNÉE EXPLORE 540 PRUNE NOIR 29"",749€,female
https://www.decathlon.fr/p/velo-vtt-electrique-semi-rigide-29-e-expl-520/_/R-p-337358?mc=8872755,"Vélo VTT électrique semi rigide 29" - E-EXPL 520 bleu nuit",1 999€,female
https://www.decathlon.fr/p/velo-de-ville-elops-900-cadre-bas-aluminium-noir/_/R-p-306126?mc=8548096&c=gris,"VELO DE VILLE ELOPS 900 cadre bas ALUMINIUM noir",599€,female
https://www.decathlon.fr/p/velo-tout-chemin-riverside-100-noir/_/R-p-335189?mc=8655166,"VÉLO TOUT CHEMIN RIVERSIDE 100 NOIR",179€,female
https://www.decathlon.fr/p/velo-tout-chemin-riverside-120-enjambement-bas-bleu-petrole/_/R-p-323601?mc=8577927&c=vert,"VELO TOUT CHEMIN RIVERSIDE 120 ENJAMBEMENT BAS vert pastel",279€,female
https://www.decathlon.fr/p/velo-de-ville-elops-520-cadre-bas-mint/_/R-p-145734?mc=8378612&c=bleu,"VELO DE VILLE ELOPS 520 CADRE BAS BLEU",349€,female
