Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,num_veh_y,senc,obs,obsm,choc,manv,motor,catr,voie,v1,v2,circ,nbv,vosp,prof,plan,surf,infra,situ,vma,age
201900000220,15,2,2019,0 days 16:40:00,1,77,77317,2,4,7,1,RUE D'ANDREZEL/rue des GUIGNEVEAUX,"48,6092150","2,8869400",1,3,1,2007.0,2,0,-1,-1,B01,1,0,2,1,24,5,4,,,,2,2,0,1,1,1,0,1,50,adult
201900000224,16,2,2019,0 days 14:43:00,1,78,78548,1,1,1,3,D91,"48,7150440","2,0019880",1,3,1,1964.0,5,2,-1,-1,A01,1,0,2,8,10,5,3,91,0.0,D,2,2,0,1,1,1,0,1,80,child
201900000224,16,2,2019,0 days 14:43:00,1,78,78548,1,1,1,3,D91,"48,7150440","2,0019880",1,4,1,1990.0,5,2,6,-1,A01,1,0,2,8,10,5,3,91,0.0,D,2,2,0,1,1,1,0,1,80,adult
201900000224,16,2,2019,0 days 14:43:00,1,78,78548,1,1,1,3,D91,"48,7150440","2,0019880",2,4,2,1994.0,5,2,6,-1,A01,1,0,2,8,10,5,3,91,0.0,D,2,2,0,1,1,1,0,1,80,adult
201900000245,17,5,2019,0 days 14:30:00,1,33,33238,2,3,1,3,Avenue de Mont de Marsan,"44,7205000"," -0,6037100",1,1,1,1949.0,5,1,-1,-1,B01,2,0,2,1,1,5,3,651,,,2,2,0,2,4,1,0,1,50,child
201900000245,17,5,2019,0 days 14:30:00,1,33,33238,2,3,1,3,Avenue de Mont de Marsan,"44,7205000"," -0,6037100",1,3,1,2001.0,5,2,-1,-1,B01,2,0,2,1,1,5,3,651,,,2,2,0,2,4,1,0,1,50,adult
201900000305,12,5,2019,0 days 11:44:00,1,62,62170,2,1,1,2,52 Route de la Colline,"50,4218350","2,6607360",1,3,1,1950.0,5,2,6,-1,B01,2,0,0,4,1,5,3,75,0.0,D,2,2,0,4,1,1,0,1,50,child
201900000305,12,5,2019,0 days 11:44:00,1,62,62170,2,1,1,2,52 Route de la Colline,"50,4218350","2,6607360",2,3,2,1955.0,5,2,6,-1,B01,2,0,0,4,1,5,3,75,0.0,D,2,2,0,4,1,1,0,1,50,adult
201900000305,12,5,2019,0 days 11:44:00,1,62,62170,2,1,1,2,52 Route de la Colline,"50,4218350","2,6607360",1,4,1,1998.0,5,6,2,-1,B01,2,0,0,4,1,5,3,75,0.0,D,2,2,0,4,1,1,0,1,50,adult
201900000335,27,7,2019,0 days 18:00:00,1,58,58194,2,3,1,6,ARDILLIERS,"46,9919700","3,1613000",3,3,2,1929.0,0,0,0,-1,A01,3,0,1,1,15,5,4,ARDILLIERS,0.0,,1,1,0,1,1,1,0,1,30,child
201900000335,27,7,2019,0 days 18:00:00,1,58,58194,2,3,1,6,ARDILLIERS,"46,9919700","3,1613000",1,1,1,1999.0,5,8,0,-1,A01,3,0,1,1,15,5,4,ARDILLIERS,0.0,,1,1,0,1,1,1,0,1,30,adult
201900000360,15,8,2019,0 days 12:25:00,1,44,44132,2,6,1,3,BD REPUBLIQUE/AVENUE DE GAULLE,"47,2596070"," -2,3390750",1,4,2,1955.0,5,8,0,-1,A01,2,0,2,1,16,5,4,,0.0,,1,2,0,1,2,1,0,1,50,child
201900000360,15,8,2019,0 days 12:25:00,1,44,44132,2,6,1,3,BD REPUBLIQUE/AVENUE DE GAULLE,"47,2596070"," -2,3390750",1,1,1,2003.0,5,8,0,-1,A01,2,0,2,1,16,5,4,,0.0,,1,2,0,1,2,1,0,1,50,adult
201900000394,13,6,2019,0 days 14:30:00,1,93,93048,2,1,1,3,PARIS (RUE DE),"48,8578882","2,4351291",1,4,2,1965.0,1,8,0,-1,B01,1,1,0,1,2,0,3,902,0.0,,-1,2,0,1,1,1,0,1,50,child
201900000394,13,6,2019,0 days 14:30:00,1,93,93048,2,1,1,3,PARIS (RUE DE),"48,8578882","2,4351291",1,1,1,1992.0,4,8,0,-1,B01,1,1,0,1,2,0,3,902,0.0,,-1,2,0,1,1,1,0,1,50,adult
201900000402,19,6,2019,0 days 09:37:00,1,93,93046,2,3,1,3,EUGENE MASSE RUE,"48,9263000","2,5452700",1,1,1,1967.0,0,8,0,-1,B01,1,0,2,5,16,0,4,EUGENE MASSE RUE,0.0,,2,2,0,1,4,1,0,1,50,child
201900000402,19,6,2019,0 days 09:37:00,1,93,93046,2,3,1,3,EUGENE MASSE RUE,"48,9263000","2,5452700",1,4,1,2003.0,4,8,0,-1,B01,1,0,2,5,16,0,4,EUGENE MASSE RUE,0.0,,2,2,0,1,4,1,0,1,50,adult
